,cluster,rgb_ce,rgb_ce_err,rgb_mg,rgb_mg_err,rgb_fe,rgb_fe_err,rgb_N_stars,Name,GLON,GLAT,RAdeg,DEdeg,CG_Rad,CG_PMRA,CG_PMRA_ERR,CG_PMDE,CG_PMDE_ERR,V_RAD,V_RAD_ERR,CG_R_GC,CG_DistPc,CG_logAge,R_Guide,Z_Height,Z_Max,Azimuth_Angle,Eccentricity,Z_Period_Avg,Radial_Period_Avg,Fe_H_ASPCAP,C_H,C_H_ERR,N_H,N_H_ERR,O_H,O_H_ERR,Na_H,Na_H_ERR,Mg_H,Mg_H_ERR,Al_H,Al_H_ERR,Si_H,Si_H_ERR,P_H,P_H_ERR,S_H,S_H_ERR,K_H,K_H_ERR,Ca_H,Ca_H_ERR,Ti_H,Ti_H_ERR,V_H,V_H_ERR,Cr_H,Cr_H_ERR,Mn_H,Mn_H_ERR,Fe_H,Fe_H_ERR,Co_H,Co_H_ERR,Ni_H,Ni_H_ERR,Cu_H,Cu_H_ERR,Ce_H,Ce_H_ERR,Nd_H,Nd_H_ERR,Num_Stars_ASPCAP,OCCAM_Qual,EH_Rad,EH_PMRA,EH_PMRA_ERR,EH_PMDE,EH_PMDE_ERR,EH_R_GC,EH_DistPc,EH_logAge
49,Haffner_4,0.32061014,0.04721544,-0.2327925,0.019753674,-0.17265108,0.01083955,1,Haffner_4,227.94410493,-3.626,106.51494886,-15.00527408,0.024,-0.417,0.11,0.904,0.099,59.6528,0.0418,12.3,5051.0,8.66,12.346,-0.2903,0.3207,197.715,0.082,173.94,257.022,-0.1727,-0.2602,0.0205,0.2319,0.02,-0.1933,0.02,-0.2958,0.02,-0.2328,0.02,-0.215,0.0489,-0.2572,0.02,0.0345,0.0472,0.011,0.02,-0.0678,0.02,-0.1891,0.0239,-0.1904,0.02,0.299,0.0488,-0.2761,0.02,-0.1933,0.02,-0.1727,0.02,-1.1402,0.132,-0.243,0.02,-0.0601,0.1321,0.3206,0.0472,-0.3462,0.049,1,1,0.148,-0.407,0.007,0.96,0.007,11.238,4046.8,8.71
50,Haffner_6,0.16886678219999998,0.047266639,-0.30007382666666665,0.018765975166666667,-0.2495644166666667,0.010860683166666668,3,Haffner_6,227.86088764,0.22,109.99079652,-13.15152991,0.049,-1.22,0.095,1.96,0.102,69.9763,0.6975,11.81,4466.0,8.79,12.665,0.0454,0.1257,196.284,0.081,158.642,266.386,-0.2496,-0.4025,0.02,0.1808,0.0233,-0.2617,0.0307,-0.18,0.0698,-0.3001,0.02,-0.2858,0.049,-0.2463,0.0229,-0.3588,0.2804,-0.0915,0.0381,-0.3187,0.0434,-0.3119,0.038,-0.3333,0.0219,-0.4862,0.2188,-0.2895,0.0599,-0.2448,0.02,-0.2496,0.02,-0.3469,0.1318,-0.3198,0.0249,0.0496,0.132,0.1689,0.1188,-0.5059,0.1835,3,2,0.271,-1.253,0.005,2.0,0.005,11.52,4371.2,8.64
51,IC_1369,0.23413788,0.04713846225,-0.1839355,0.018603665875,-0.0948598325,0.01072545375,4,IC_1369,89.60990389,-0.394,318.03262446,47.77571808,0.043,-4.644,0.121,-5.609,0.111,-48.6653,0.0865,8.948,3301.0,8.46,9.045,-0.0019,0.0069,158.354,0.142,87.789,182.773,-0.1039,-0.1985,0.02,0.3194,0.0681,-0.1715,0.0306,0.0039,0.0662,-0.1743,0.0347,-0.2144,0.0473,-0.1266,0.0407,-0.0038,0.0467,0.0542,0.0836,-0.0842,0.0454,-0.136,0.0264,-0.2247,0.0412,-0.1483,0.0751,-0.1888,0.0203,-0.0851,0.0262,-0.1039,0.0289,-0.1327,0.1301,-0.1764,0.028,-9999.0,-9999.0,0.2558,0.0941,0.0426,0.1015,3,2,0.336,-4.603,0.006,-5.629,0.006,8.792,3422.5,8.26
52,IC_166,0.21037430165384616,0.04777713346153846,-0.15428349653846155,0.02557560111538461,-0.09816289215384615,0.011381977673076922,26,IC_166,130.04826504,-0.172,28.08573811,61.85513377,0.06,-1.439,0.122,1.126,0.144,-40.4123,1.3152,12.418,5285.0,9.12,14.187,0.0134,1.0857,160.987,0.166,308.2,312.893,-0.098,-0.2413,0.0769,0.2575,0.1137,-0.1635,0.0787,0.0256,0.1007,-0.1517,0.0473,-0.1246,0.1076,-0.0979,0.0777,0.014,0.2585,0.0072,0.1049,-0.1166,0.0886,-0.13,0.0706,-0.2049,0.0784,0.0774,0.2922,-0.1124,0.0974,-0.1172,0.0518,-0.098,0.0404,-0.2164,0.2386,-0.1468,0.0535,-0.2308,0.3113,0.2149,0.1804,-0.1845,0.234,23,3,0.192,-1.461,0.003,1.076,0.003,11.475,4418.9,8.89
53,IC_361,0.40610012,0.050377738,-0.2650925,0.059962735,-0.1734711,0.01422145,1,IC_361,147.51180138,5.659,64.73265953,58.25086946,0.068,1.721,0.129,-1.139,0.123,-37.4383,0.02,11.502,3576.0,8.91,10.312,0.3809,0.4388,170.433,0.115,140.997,209.073,-0.1735,-0.4594,0.0631,0.2614,0.0236,-0.3132,0.035,0.6293,0.0213,-0.2651,0.06,-0.0962,0.0586,-0.2706,0.0475,-1.3259,0.0507,-0.1177,0.0225,-0.1698,0.0228,-0.2396,0.0541,-0.5294,0.0609,0.8484,0.0574,-0.4776,0.0276,-0.231,0.0208,-0.1735,0.02,0.1085,0.1414,-0.2986,0.02,-0.8263,0.1459,0.4061,0.0504,0.5731,0.0577,1,1,0.223,1.693,0.003,-1.183,0.003,11.271,3552.9,8.91
54,King_1,0.11832855766666667,0.04724749833333333,-0.1103905,0.018038097,-0.041673750333333336,0.010830528333333332,3,King_1,119.76559965,1.691,5.52298408,64.38266553,0.155,-4.947,0.154,-1.273,0.126,-53.1356,0.1963,9.318,1727.0,9.56,9.475,0.0739,0.0762,170.746,0.125,95.642,192.15,-0.0417,-0.1716,0.0396,0.2256,0.0414,-0.0868,0.02,0.033,0.0859,-0.1104,0.0223,-0.0869,0.0489,-0.0401,0.0349,-0.0254,0.1336,-0.0184,0.02,-0.0115,0.0603,-0.0551,0.0234,-0.138,0.0324,-0.2503,0.0555,-0.0916,0.048,-0.0557,0.0284,-0.0417,0.02,-0.0565,0.1317,-0.1017,0.02,-9999.0,-9999.0,0.1183,0.0726,0.0259,0.062,3,2,0.323,-4.936,0.004,-1.307,0.004,9.101,1723.7,9.02
55,King_13,0.29527012,0.047052287,-0.2680325,0.015696844,-0.18626109,0.0106395,1,King_13,117.97365091,-1.306,2.53754876,61.16796768,0.071,-2.746,0.104,-0.839,0.086,-48.3201,0.02,10.467,3525.0,8.7,11.141,-0.0554,0.0718,162.701,0.074,123.385,230.2,-0.1863,-0.3248,0.02,0.2099,0.02,-0.2457,0.02,-0.1141,0.02,-0.268,0.02,-0.2703,0.0483,-0.2276,0.02,-0.3003,0.0471,-0.1291,0.02,-0.1792,0.02,-0.2256,0.021,-0.2466,0.02,0.3892,0.0483,-0.1827,0.02,-0.2351,0.02,-0.1863,0.02,-0.1594,0.1311,-0.2575,0.02,-0.1156,0.1317,0.2953,0.0471,-0.2319,0.0483,1,1,0.222,-2.729,0.004,-0.876,0.004,10.3,3581.9,8.52
56,King_15,0.60035014,0.04669578,-0.1693125,0.0124724265,-0.099871084,0.01028421,1,King_15,120.76776951,-0.94,8.26841844,61.85439133,0.041,-2.326,0.104,-0.862,0.107,-64.6148,0.0282,10.495,3403.0,8.47,10.49,-0.0307,0.0549,163.827,0.056,109.35,212.852,-0.0999,-0.121,0.02,0.2836,0.02,-0.2285,0.02,-0.2514,0.02,-0.1693,0.02,-0.2093,0.0473,-0.1255,0.02,-0.0566,0.0467,0.0697,0.02,-0.2796,0.02,-0.1255,0.02,-0.091,0.02,-0.2119,0.0473,-0.1016,0.02,-0.0863,0.02,-0.0999,0.02,-0.1877,0.13,-0.1584,0.02,-9999.0,-9999.0,0.6004,0.0467,0.0373,0.0473,1,1,0.229,-2.302,0.006,-0.893,0.006,10.119,3173.1,8.37
57,King_2,0.19264613,0.04734904,-0.117364496,0.018305838,-0.17602108,0.01096125,1,King_2,122.86805961,-4.684,12.73872828,58.18735587,0.051,-1.358,0.112,-0.824,0.14,-42.3526,0.0305,13.264,6760.0,9.61,14.668,-0.5221,0.853,154.748,0.164,302.728,321.069,-0.176,-0.2841,0.02,0.0028,0.02,-0.1321,0.02,-0.1444,0.02,-0.1174,0.02,-0.1976,0.0492,-0.144,0.02,0.1228,0.0474,-0.2176,0.02,-0.1033,0.02,-0.1904,0.0228,-0.2007,0.02,-0.6348,0.0496,-0.3111,0.02,-0.2251,0.02,-0.176,0.02,-0.0703,0.132,-0.191,0.02,-9999.0,-9999.0,0.1926,0.0473,-0.0603,0.0492,1,1,0.221,-1.419,0.007,-0.844,0.007,11.741,5155.8,9.04
58,King_23,0.29104637,0.047486875,-0.109256599,0.020279400625000003,-0.030095907749999998,0.011081342499999999,4,King_23,217.29959235,6.307,110.46217157,-0.98995596,0.059,-0.457,0.084,-0.879,0.086,53.5757,0.0763,10.983,3136.0,9.29,10.253,0.3715,0.3492,189.904,0.081,130.704,206.804,-0.0096,-0.1789,0.0271,0.2353,0.0275,-0.0529,0.0354,-0.126,0.1604,-0.1269,0.0224,-0.0591,0.0834,-0.078,0.0328,-0.023,0.0483,-0.077,0.0704,-0.0723,0.0452,-0.0863,0.0616,-0.053,0.0559,0.0214,0.1741,-0.117,0.0747,0.0053,0.0233,-0.036,0.0392,0.0112,0.1327,-0.095,0.0292,-0.346,0.1365,0.2832,0.0646,-0.167,0.2696,3,2,0.274,-0.496,0.008,-0.857,0.008,10.766,3126.4,9.07
