,cluster,rgb_ce,rgb_ce_err,rgb_mg,rgb_mg_err,rgb_fe,rgb_fe_err,rgb_N_stars,Name,GLON,GLAT,RAdeg,DEdeg,CG_Rad,CG_PMRA,CG_PMRA_ERR,CG_PMDE,CG_PMDE_ERR,V_RAD,V_RAD_ERR,CG_R_GC,CG_DistPc,CG_logAge,R_Guide,Z_Height,Z_Max,Azimuth_Angle,Eccentricity,Z_Period_Avg,Radial_Period_Avg,Fe_H_ASPCAP,C_H,C_H_ERR,N_H,N_H_ERR,O_H,O_H_ERR,Na_H,Na_H_ERR,Mg_H,Mg_H_ERR,Al_H,Al_H_ERR,Si_H,Si_H_ERR,P_H,P_H_ERR,S_H,S_H_ERR,K_H,K_H_ERR,Ca_H,Ca_H_ERR,Ti_H,Ti_H_ERR,V_H,V_H_ERR,Cr_H,Cr_H_ERR,Mn_H,Mn_H_ERR,Fe_H,Fe_H_ERR,Co_H,Co_H_ERR,Ni_H,Ni_H_ERR,Cu_H,Cu_H_ERR,Ce_H,Ce_H_ERR,Nd_H,Nd_H_ERR,Num_Stars_ASPCAP,OCCAM_Qual,EH_Rad,EH_PMRA,EH_PMRA_ERR,EH_PMDE,EH_PMDE_ERR,EH_R_GC,EH_DistPc,EH_logAge
59,King_5,0.03787962999999999,0.046777321499999996,-0.194937,0.0145033935,-0.15197608499999998,0.0103569175,2,King_5,143.76178518,-4.276,48.67722457,52.70312699,0.091,-0.282,0.152,-1.2,0.127,-44.005,0.7448,10.526,2581.0,9.01,10.362,-0.1665,0.1779,171.69,0.05,116.01,209.473,-0.152,-0.2927,0.02,0.2066,0.0478,-0.1583,0.0389,-0.113,0.02,-0.1949,0.0239,-0.1797,0.0496,-0.163,0.0449,0.1339,0.0468,-0.1087,0.02,-0.1384,0.0607,-0.1913,0.0568,-0.1892,0.0231,-0.1632,0.2372,-0.1646,0.0232,-0.1387,0.02,-0.152,0.028,-0.1422,0.1302,-0.2049,0.02,-9999.0,-9999.0,0.0379,0.1316,-0.4263,0.1404,2,2,0.199,-0.304,0.005,-1.265,0.005,10.042,2274.2,8.82
60,King_7,0.20167662749999998,0.04661540475,-0.2084342525,0.012237634499999999,-0.17126609250000002,0.010200551249999999,4,King_7,149.79972767,-1.014,59.78614717,51.78726644,0.06,1.121,0.22,-1.196,0.181,-10.3903,0.1612,11.194,3171.0,8.35,11.01,-0.0285,0.1094,171.809,0.075,121.934,225.137,-0.1557,-0.211,0.02,0.152,0.1555,-0.2104,0.032,-0.0671,0.0927,-0.2084,0.0339,-0.3066,0.047,-0.2253,0.0491,0.002,0.0498,-0.0048,0.0549,-0.241,0.0704,-0.2175,0.02,-0.3075,0.0468,-0.489,0.508,-0.1405,0.1366,-0.111,0.0508,-0.1713,0.0301,-0.148,0.1298,-0.2245,0.02,-9999.0,-9999.0,0.2017,0.0696,-0.2684,0.1103,4,3,0.289,1.129,0.005,-1.187,0.005,10.692,2860.8,8.28
61,King_8,0.15689503,0.04758909,-0.28362048,0.02301153,-0.2186911,0.0111994,1,King_8,176.38385967,3.104,87.3269339,33.6346266,0.025,0.52,0.176,-1.743,0.145,-1.025,0.0382,13.842,5517.0,8.92,12.745,0.3332,0.3292,178.562,0.09,181.836,263.818,-0.2187,-0.3244,0.0233,0.1592,0.02,-0.226,0.02,-0.0673,0.02,-0.2836,0.023,-0.3053,0.05,-0.2573,0.02,0.0723,0.0476,0.1519,0.02,-0.2928,0.02,-0.2364,0.0265,-0.3006,0.0231,-0.2107,0.0501,-0.0928,0.02,-0.236,0.02,-0.2187,0.02,-0.3675,0.1329,-0.2457,0.02,-0.0246,0.1334,0.1569,0.0476,-0.3496,0.05,1,1,0.189,0.458,0.006,-1.704,0.006,12.899,4787.8,8.7
62,Melotte_71,0.04101155741428571,0.04710655885714286,-0.20604992428571428,0.018173054714285715,-0.13221108842857143,0.010697777857142859,7,Melotte_71,228.94222835,4.504,114.37757148,-12.05782944,0.075,-2.446,0.115,4.21,0.113,50.6321,0.5914,9.872,2139.0,8.99,10.817,0.1923,0.307,189.374,0.12,142.616,225.779,-0.1369,-0.2537,0.0471,0.18,0.0682,-0.1393,0.0356,0.0006,0.1667,-0.2141,0.0433,-0.1609,0.061,-0.1423,0.0227,-0.0369,0.2705,-0.1166,0.1405,-0.2095,0.1426,-0.1427,0.0271,-0.1747,0.0388,0.0594,0.1874,-0.0912,0.0587,-0.1619,0.0368,-0.1369,0.0233,-0.3052,0.1311,-0.1896,0.0253,-0.0857,0.1314,-0.0043,0.1909,-0.305,0.0773,6,3,0.35,-2.389,0.003,4.216,0.003,9.622,2091.2,9.11
63,Melotte_72,0.12395079168666667,0.048459739,-0.15213084833333332,0.03391388666666667,-0.14202441833333332,0.012082533333333333,3,Melotte_72,227.8629957,5.369,114.61852776,-10.69819864,0.053,-4.159,0.11,3.68,0.093,71.5579,0.158,10.325,2684.0,8.99,11.208,0.2764,0.379,191.066,0.177,162.083,239.062,-0.2295,-0.2239,0.0763,0.1238,0.0772,-0.1272,0.1608,0.1142,0.0486,-0.1521,0.0606,-0.1089,0.0797,-0.0914,0.0553,-0.8814,0.7016,0.1631,0.1185,-0.0823,0.0777,-0.1865,0.0473,-0.2155,0.0601,-0.1287,0.167,-0.1015,0.0503,-0.2225,0.049,-0.142,0.0298,0.0249,0.1704,-0.2394,0.0419,-0.1891,0.1369,0.124,0.0898,-0.176,0.4587,3,2,0.279,-4.15,0.005,3.692,0.005,9.909,2426.7,9.11
64,NGC_1193,-0.4435198633333333,0.04730066333333333,-0.3077254933333333,0.018042672,-0.34402776000000007,0.010836123333333331,3,NGC_1193,146.8151997,-12.16,46.48630962,44.38170655,0.027,-0.125,0.281,-0.329,0.244,-84.6942,0.2105,12.705,4988.0,9.71,12.319,-1.02,1.1534,167.876,0.14,246.116,260.17,-0.3379,-0.394,0.02,-0.1426,0.0336,-0.2981,0.0289,-0.3595,0.0655,-0.3077,0.02,-0.2983,0.1105,-0.3211,0.0275,-0.7081,0.818,-0.174,0.0536,-0.2256,0.0267,-0.3154,0.0562,-0.3645,0.048,-0.4672,0.096,-0.3484,0.0282,-0.3565,0.0691,-0.344,0.02,-0.2225,0.1317,-0.3349,0.0239,-0.1502,0.1894,-0.4435,0.1631,-0.6809,0.0864,3,1,0.163,-0.22,0.007,-0.426,0.007,12.726,5193.5,9.34
65,NGC_1245,0.20007203327272727,0.047120379590909096,-0.16648058954545455,0.018578773409090907,-0.08167703827272726,0.010717247499999999,22,NGC_1245,146.66946584,-8.919,48.71134697,47.23507987,0.109,0.504,0.113,-1.579,0.1,-29.191,0.6198,11.118,3201.0,9.08,10.759,-0.4689,0.4621,171.01,0.04,152.014,218.359,-0.0818,-0.2415,0.0525,0.2634,0.0516,-0.1598,0.0646,-0.1115,0.0993,-0.1654,0.0414,-0.1481,0.0485,-0.1018,0.0277,-0.1625,0.2308,-0.0498,0.075,-0.1552,0.057,-0.1219,0.032,-0.1474,0.0476,0.1734,0.1523,-0.1331,0.0488,-0.1006,0.03,-0.0818,0.0263,-0.2227,0.2241,-0.1453,0.0337,-0.1384,0.1318,0.1996,0.1064,-0.1459,0.1183,21,4,0.212,0.47,0.003,-1.66,0.003,10.741,3009.5,8.99
66,NGC_136,0.51876014,0.046808112,-0.30195248,0.014812029,-0.22677109,0.01041429,1,NGC_136,120.5633272,-1.272,7.89059104,61.50836864,0.027,-1.648,0.089,-0.522,0.088,-52.2197,0.0339,11.814,5141.0,8.41,12.467,-0.0868,0.0936,158.0,0.078,150.816,261.045,-0.2268,-0.235,0.02,0.2022,0.02,-0.324,0.02,-1.0493,0.02,-0.302,0.02,-0.3272,0.0476,-0.2353,0.02,-0.1963,0.0468,0.0096,0.02,-0.2331,0.02,-0.2468,0.0203,-0.1565,0.02,0.1827,0.0476,-0.2073,0.02,-0.2262,0.02,-0.2268,0.02,-0.3104,0.1304,-0.2634,0.02,-9999.0,-9999.0,0.5188,0.0468,-0.277,0.0476,1,1,0.143,-1.637,0.008,-0.576,0.008,11.145,4548.1,8.56
67,NGC_1664,0.24493413,0.04659524,-0.1561285,0.012122104,-0.043136086,0.010181575,1,NGC_1664,161.67305925,-0.451,72.76648144,43.67478182,0.113,1.703,0.169,-5.738,0.146,6.9131,0.0232,9.622,1341.0,8.71,9.159,0.0134,0.1098,177.488,0.069,90.696,181.422,-0.0431,-0.2036,0.02,0.3656,0.02,-0.1679,0.02,0.0164,0.02,-0.1561,0.02,-0.1159,0.047,-0.0586,0.02,0.0067,0.0466,0.0231,0.02,-0.1153,0.02,-0.0692,0.02,-0.1027,0.02,0.0669,0.047,-0.079,0.02,-0.0499,0.02,-0.0431,0.02,-0.05,0.1297,-0.089,0.02,-9999.0,-9999.0,0.2449,0.0466,0.0579,0.047,1,1,0.541,1.608,0.007,-5.803,0.007,9.353,1287.8,8.53
68,NGC_1798,0.09988875350000001,0.047072482875,-0.31557648875,0.01768197757142857,-0.274709835,0.010677903749999999,8,NGC_1798,160.70336983,4.846,77.90789336,47.68911136,0.039,0.913,0.142,-0.318,0.122,2.6361,0.7882,13.266,5124.0,9.22,13.8,0.4656,0.9925,172.693,0.098,279.805,294.026,-0.2747,-0.4174,0.0304,0.006,0.0443,-0.2746,0.0491,-0.1358,0.025,-0.3079,0.0201,-0.2962,0.0487,-0.2722,0.02,-0.1702,0.1687,-0.2062,0.0594,-0.2819,0.0939,-0.2624,0.0364,-0.3192,0.0634,-0.4245,0.2571,-0.3251,0.0327,-0.3162,0.0221,-0.2636,0.0208,-0.4401,0.3308,-0.3344,0.0249,-0.1155,0.1318,0.1214,0.0548,-0.4586,0.1115,7,4,0.363,0.792,0.006,-0.37,0.006,12.124,4167.0,8.96
69,NGC_1817,0.15801140916666667,0.047270901000000004,-0.21698399666666668,0.020027538166666668,-0.14338608666666666,0.0108706775,6,NGC_1817,186.19652125,-13.03,78.14102954,16.69318417,0.187,0.485,0.118,-0.89,0.1,66.1828,0.1391,10.084,1799.0,9.05,10.42,-0.3805,0.4244,181.075,0.155,146.594,217.198,-0.1378,-0.2835,0.0356,0.178,0.0578,-0.1605,0.0206,-0.0159,0.0669,-0.2027,0.0235,-0.1685,0.0483,-0.1532,0.02,-0.2148,0.3163,-0.08,0.0575,-0.1553,0.062,-0.148,0.022,-0.2093,0.0264,0.0522,0.1351,-0.1575,0.0435,-0.1739,0.02,-0.1378,0.02,-0.2879,0.206,-0.215,0.0289,-0.2205,0.1406,0.1735,0.073,-0.3278,0.0483,5,3,0.522,0.43,0.004,-0.932,0.004,9.716,1636.5,9.12
70,NGC_1857,0.5812301,0.046658397,-0.2985825,0.012794367,-0.1825911,0.01024811,1,NGC_1857,168.41885745,1.253,80.02874901,39.32883536,0.062,0.553,0.089,-1.31,0.084,0.3817,0.0399,11.196,2900.0,8.4,11.452,0.0913,0.1216,177.02,0.028,131.377,235.296,-0.1826,-0.1684,0.02,0.2411,0.02,-0.3687,0.02,-0.3966,0.02,-0.2986,0.02,-0.3606,0.0472,-0.2203,0.02,-0.1467,0.0467,0.0034,0.02,-0.3655,0.02,-0.2481,0.02,-0.0537,0.02,0.1865,0.0472,-0.2868,0.02,-0.1394,0.02,-0.1826,0.02,-0.5081,0.1299,-0.1763,0.02,-9999.0,-9999.0,0.5812,0.0467,0.0305,0.0472,1,1,0.212,0.47,0.004,-1.384,0.004,10.787,2706.9,8.32
71,NGC_188,-0.23465938470731706,0.047196306186046505,0.07580280178604651,0.016259096767441857,0.07989112302325582,0.010666638011627906,43,NGC_188,122.84041195,22.38,11.83722881,85.2514619,0.272,-2.307,0.139,-0.96,0.146,-41.9056,0.5355,9.285,1698.0,9.85,9.538,0.6694,0.7748,171.831,0.061,151.256,192.85,0.0805,0.1009,0.0412,0.2782,0.0963,0.0813,0.0479,0.1874,0.0965,0.0765,0.0412,0.1078,0.0697,0.0967,0.0326,0.1344,0.2518,0.0856,0.0737,0.1291,0.0771,0.0579,0.0541,0.0781,0.0869,-0.0239,0.2139,0.1219,0.0854,0.1453,0.0334,0.0805,0.0405,0.1752,0.1313,0.1088,0.0462,0.2077,0.2307,-0.2368,0.3009,0.2199,0.145,42,4,0.357,-2.318,0.004,-1.015,0.004,9.172,1821.9,9.42
72,NGC_1907,0.19997212666666667,0.04678324833333333,-0.138687168,0.01398774,-0.09604008000000001,0.010372508333333334,3,NGC_1907,172.62376553,0.311,82.02900192,35.32409105,0.075,-0.04,0.144,-3.418,0.128,2.6834,0.1586,9.947,1618.0,8.77,9.955,0.0336,0.1215,178.803,0.009,104.155,199.879,-0.096,-0.2697,0.039,0.2806,0.0606,-0.1567,0.02,-0.017,0.068,-0.1387,0.02,-0.1965,0.0475,-0.103,0.02,-0.0532,0.1082,0.0755,0.0513,-0.237,0.1023,-0.1365,0.02,-0.1563,0.0368,-0.0279,0.1275,-0.2282,0.02,-0.1336,0.02,-0.096,0.02,-0.1718,0.1303,-0.1389,0.02,-0.005,0.1308,0.2,0.1259,-0.239,0.131,3,2,0.289,-0.141,0.006,-3.41,0.006,9.615,1503.3,8.76
73,NGC_1912,0.5788701,0.04649814,-0.25874248,,-0.10245108,0.010083935,1,NGC_1912,172.27247374,0.68,82.16674313,35.82082347,0.163,1.58,0.175,-4.424,0.156,-1.0437,0.0298,9.435,1104.0,8.47,9.296,0.0366,0.0455,179.099,0.027,89.545,184.286,-0.0953,-0.1613,0.02,0.2178,0.02,-0.2241,0.02,-0.1902,0.02,-0.2587,0.02,-0.1749,0.0467,-0.1142,0.02,-0.1903,0.0465,0.1083,0.02,-0.2756,0.02,-0.1741,0.02,-0.1086,0.02,-0.0021,0.0467,-0.2012,0.02,-0.1233,0.02,-0.1025,0.02,-0.2626,0.1294,-0.1705,0.02,-9999.0,-9999.0,0.5789,0.0465,0.0117,0.0467,1,2,0.673,1.545,0.005,-4.43,0.005,9.199,1085.5,8.43
74,NGC_2158,0.06547760189454545,0.047393400927272726,-0.26264724563636366,0.020906246854545455,-0.23466981872727272,0.010990357627272728,55,NGC_2158,186.63551041,1.785,91.85948488,24.09770927,0.044,-0.177,0.185,-2.002,0.173,27.1049,1.4042,12.617,4298.0,9.19,12.028,0.1653,0.4494,182.255,0.05,179.576,247.707,-0.2362,-0.3777,0.0471,-0.0205,0.0629,-0.2786,0.0952,-0.1404,0.1071,-0.265,0.0333,-0.2609,0.0545,-0.2346,0.0331,-0.2131,0.2591,-0.1764,0.1089,-0.2474,0.0771,-0.2408,0.0362,-0.3269,0.0543,-0.1621,0.3895,-0.3329,0.1436,-0.2844,0.0384,-0.2369,0.0246,-0.4424,0.3165,-0.2963,0.0397,-0.1663,0.3741,0.0519,0.1727,-0.2943,0.2634,50,4,0.21,-0.211,0.003,-1.982,0.003,11.81,3706.3,9.27
75,NGC_2204,0.08491946460476192,0.04708378814285714,-0.30936622047619045,0.017552566619047617,-0.2819334728571429,0.010688952380952379,21,NGC_2204,226.01888278,-16.11,93.88522976,-18.67148567,0.098,-0.56,0.117,1.964,0.129,92.1411,0.5283,11.344,3991.0,9.32,11.358,-1.0801,1.1484,194.074,0.083,217.471,235.592,-0.2789,-0.4379,0.0665,-0.0228,0.0438,-0.2434,0.0406,-0.246,0.0831,-0.3041,0.0263,-0.2769,0.0543,-0.269,0.0336,-0.3425,0.149,-0.2564,0.1161,-0.2667,0.0634,-0.2978,0.0346,-0.3933,0.0322,-0.3062,0.2165,-0.3005,0.0663,-0.3086,0.0289,-0.2738,0.0275,-0.2073,0.1314,-0.336,0.0282,-0.1167,0.1316,0.0566,0.1835,-0.5947,0.3601,18,4,0.262,-0.579,0.003,1.957,0.003,11.29,4113.5,9.26
76,NGC_2236,0.2628538116666667,0.04823333033333333,-0.20873633166666664,0.031836573666666666,-0.15352109166666666,0.0118911,6,NGC_2236,204.36782171,-1.7,97.41121063,6.8314648,0.07,-0.752,0.129,0.01,0.135,59.5723,0.2208,10.599,2429.0,9.06,10.823,-0.0457,0.0533,185.423,0.074,115.841,221.683,-0.1499,-0.2934,0.0676,0.1757,0.055,-0.2557,0.0665,-0.4276,0.5926,-0.2118,0.0349,-0.2325,0.0525,-0.1731,0.0315,-0.3215,0.1963,-0.1305,0.1152,-0.2471,0.0306,-0.2004,0.0743,-0.2475,0.0349,-0.0045,0.2461,-0.2494,0.0329,-0.1925,0.0434,-0.1499,0.02,-0.3571,0.5791,-0.2264,0.0236,-9999.0,-9999.0,0.3014,0.1226,-0.1666,0.2315,4,2,0.268,-0.782,0.004,0.016,0.004,10.493,2546.2,8.93
77,NGC_2243,-0.24973432222222222,0.04734612844444444,-0.40594593222222225,0.02073029588888889,-0.45500553222222223,0.010944604444444445,9,NGC_2243,239.47988426,-18.01,97.39644414,-31.28344316,0.046,-1.279,0.126,5.488,0.126,59.9198,0.4429,10.584,3719.0,9.64,12.554,-1.1246,1.2895,196.725,0.222,273.964,279.195,-0.455,-0.559,0.0471,-0.209,0.02,-0.2991,0.0343,-0.4832,0.335,-0.4059,0.0258,-0.3899,0.0491,-0.3921,0.0259,-0.5654,0.4143,-0.3174,0.0493,-0.3964,0.0464,-0.4602,0.0525,-0.568,0.0525,-0.1896,0.381,-0.5233,0.1039,-0.5392,0.0334,-0.455,0.0248,-0.4849,0.3803,-0.4717,0.0271,-0.9427,0.8327,-0.2497,0.0473,-0.7248,0.1407,9,4,0.174,-1.267,0.003,5.494,0.003,10.593,3928.2,9.44
78,NGC_2244,0.25159013,0.04954879,-0.1610195,0.046412688,0.017278716,0.0132264,1,NGC_2244,206.32197629,-2.073,97.985301,4.92671252,0.232,-1.598,0.3,0.179,0.352,34.3203,0.1328,9.686,1478.0,7.1,10.202,-0.0294,0.054,183.877,0.06,105.478,207.402,0.0173,-0.372,0.1109,-9999.0,-9999.0,0.0823,0.0274,-0.6476,0.0222,-0.161,0.0464,0.0422,0.0555,-0.1054,0.0369,-1.4306,0.0527,-0.036,0.02,0.0092,0.02,0.1817,0.0422,0.1815,0.044,-0.9484,0.0606,0.5402,0.0213,0.1017,0.02,0.0173,0.02,0.1632,0.1386,-0.1422,0.02,-0.3262,0.1409,0.2516,0.0495,-0.2093,0.0564,1,1,0.358,-1.737,0.01,0.253,0.01,9.411,1415.2,6.61
79,NGC_2304,-0.3004799,0.047442988,-0.2787655,0.021647623,-0.1989511,0.0109806,1,NGC_2304,197.21321327,8.901,103.80303746,17.98461602,0.038,-0.024,0.108,-1.514,0.109,57.9979,0.0412,12.019,3843.0,8.96,11.206,0.6245,0.6006,185.364,0.121,176.106,230.92,-0.1797,-0.3151,0.023,0.1302,0.02,-0.2244,0.02,-0.2429,0.02,-0.2788,0.0216,-0.2556,0.0493,-0.0852,0.02,-0.4422,0.0475,-0.2699,0.02,-0.282,0.02,-0.1711,0.0253,-0.2424,0.0216,0.1695,0.0493,-0.1717,0.02,-0.1894,0.02,-0.199,0.02,-0.7747,0.1325,-0.2964,0.02,-9999.0,-9999.0,-0.3005,0.0474,-0.3174,0.0494,1,2,0.159,0.002,0.008,-1.466,0.008,11.596,3615.3,9.09
80,NGC_2318,0.21646112,0.046593,-0.1829325,0.012230868,-0.05136009,0.010178115,1,NGC_2318,226.10705861,-4.478,104.8729586,-13.75886779,0.172,-1.781,0.112,-2.198,0.11,8.4428,0.0241,9.356,1394.0,8.64,9.642,-0.0856,0.1901,186.144,0.13,107.348,196.856,-0.0514,-0.1534,0.02,0.3754,0.02,-0.1437,0.02,-0.0136,0.02,-0.1829,0.02,-0.1299,0.0469,-0.077,0.02,0.2438,0.0466,0.0887,0.02,-0.107,0.02,-0.0947,0.02,-0.1333,0.02,-0.0224,0.047,-0.1413,0.02,-0.0243,0.02,-0.0514,0.02,-0.0746,0.1297,-0.0997,0.02,-9999.0,-9999.0,0.2165,0.0466,-0.0179,0.0469,1,1,0.586,-1.768,0.01,-2.136,0.01,9.084,1318.7,8.66
81,NGC_2324,0.321636514,0.04702787939999999,-0.27776589800000007,0.017736058399999997,-0.20079308999999998,0.010652902,5,NGC_2324,213.44789792,3.304,106.03513983,1.04721752,0.069,-0.309,0.106,-0.094,0.092,42.3721,0.1806,12.075,4214.0,8.73,12.249,0.2724,0.3044,191.072,0.07,169.544,254.633,-0.1954,-0.3274,0.0446,0.2129,0.0539,-0.2247,0.0281,-0.0975,0.1004,-0.2649,0.0266,-0.2623,0.0479,-0.225,0.0207,-0.183,0.2184,-0.0611,0.0602,-0.1841,0.036,-0.2206,0.0211,-0.1827,0.0973,0.0202,0.2647,-0.2277,0.0322,-0.2061,0.02,-0.1954,0.02,-0.448,0.2914,-0.2674,0.0212,0.009,0.1315,0.3248,0.0593,-0.4408,0.2173,4,2,0.179,-0.322,0.004,-0.089,0.004,11.571,3897.5,8.78
82,NGC_2355,0.07015513,0.04680646,-0.2273065,0.01469518,-0.15163109,0.01039512,1,NGC_2355,203.38012222,11.81,109.25063762,13.76250143,0.078,-3.802,0.137,-1.086,0.133,35.6228,0.0252,10.112,1941.0,9.0,10.668,0.4225,0.7012,184.276,0.072,173.559,220.264,-0.1516,-0.2931,0.02,0.1724,0.02,-0.1711,0.02,-0.2382,0.02,-0.2273,0.02,-0.2155,0.0476,-0.1801,0.02,-0.0245,0.0468,-0.1055,0.02,-0.1526,0.02,-0.1707,0.0202,-0.2056,0.02,0.1355,0.0476,-0.2028,0.02,-0.1916,0.02,-0.1516,0.02,-0.1721,0.1304,-0.2177,0.02,-0.0702,0.1306,0.0702,0.0468,-0.2256,0.0476,1,1,0.348,-3.836,0.005,-1.054,0.005,9.726,1751.1,9.23
83,NGC_2420,0.07179960911304348,0.047054590304347825,-0.22626820565217393,0.017369801590909093,-0.18185717869565218,0.010635705173913044,23,NGC_2420,198.10874935,19.64,114.60207887,21.57406769,0.053,-1.19,0.139,-2.125,0.126,74.4488,0.4969,10.683,2587.0,9.24,10.011,0.8961,0.8745,184.066,0.152,169.779,206.143,-0.1799,-0.2382,0.0865,-0.0002,0.1018,-0.0938,0.1164,-0.1084,0.189,-0.2141,0.0464,-0.1807,0.0529,-0.1783,0.0275,-0.2218,0.4237,-0.1012,0.0913,-0.1477,0.066,-0.1638,0.0462,-0.2262,0.1414,-0.0608,0.2619,-0.197,0.1381,-0.235,0.0679,-0.176,0.0275,-0.2635,0.2431,-0.2113,0.0632,-0.2438,0.2698,0.0611,0.2152,-0.4292,0.4938,21,4,0.159,-1.215,0.004,-2.039,0.004,10.243,2311.4,9.35
84,NGC_2423,0.09781200159249999,0.0497052785,-0.09848255150000002,0.069717826,-0.010658503500000001,0.01392065525,4,NGC_2423,230.49623366,3.577,114.31740938,-13.86327647,0.268,-0.735,0.124,-3.632,0.149,19.4287,0.8144,8.968,943.0,9.04,8.748,0.0811,0.0827,184.645,0.093,83.953,173.015,-0.0107,-0.062,0.1356,0.6916,0.4891,-0.0679,0.179,-0.0726,0.1573,-0.0985,0.0924,-0.2382,0.1891,0.0052,0.0705,-0.0423,0.2247,-0.0923,0.1031,0.0307,0.1882,-0.0164,0.0753,-0.0602,0.0424,0.1063,0.1425,-0.1921,0.4855,-0.1733,0.2407,-0.0107,0.0537,0.1437,0.1298,-0.1468,0.194,-0.343,0.1904,0.0978,0.2784,0.2891,0.0562,4,2,0.69,-0.747,0.006,-3.582,0.006,8.727,908.7,9.07
85,NGC_2447,0.29693013333333335,0.04654568933333333,-0.17638050000000002,0.011562562166666667,-0.09967507999999999,0.010133321666666667,3,NGC_2447,240.0362412,0.146,116.13457651,-23.84885439,0.202,-3.551,0.158,5.068,0.167,23.4537,0.6492,8.892,1018.0,8.76,9.478,0.0247,0.0813,185.692,0.071,95.262,190.82,-0.0997,-0.2763,0.0279,0.2864,0.0235,-0.1451,0.02,-0.01,0.02,-0.1764,0.02,-0.0933,0.0468,-0.0926,0.02,-0.0931,0.1088,-0.0279,0.0239,-0.2213,0.0329,-0.1356,0.02,-0.2256,0.0275,0.0614,0.0686,-0.1715,0.0493,-0.1334,0.02,-0.0997,0.02,-0.1079,0.1296,-0.174,0.02,0.0072,0.1296,0.2969,0.0465,-0.1679,0.0468,3,2,0.698,-3.56,0.005,5.086,0.005,8.648,970.9,8.87
86,NGC_2479,0.07484613,0.046766855,-0.1266325,0.014443012,-0.027194085,0.01035,1,NGC_2479,236.00403826,5.366,118.77200511,-17.73449401,0.075,-4.318,0.1,1.053,0.078,41.5701,0.0236,9.299,1562.0,8.99,9.256,0.169,0.2594,187.97,0.005,104.407,183.914,-0.0272,-0.1456,0.02,0.3217,0.02,-0.0983,0.02,-0.0167,0.02,-0.1266,0.02,-0.0831,0.0475,-0.0397,0.02,-0.1309,0.0468,0.0507,0.02,-0.1937,0.02,-0.0663,0.02,-0.0844,0.02,-0.0214,0.0475,-0.0937,0.02,0.002,0.02,-0.0272,0.02,-0.0547,0.1302,-0.0787,0.02,-9999.0,-9999.0,0.0748,0.0468,-0.0982,0.0475,1,1,0.503,-4.326,0.007,1.097,0.007,9.072,1543.4,9.12
87,NGC_2682,-0.038103369415517244,0.04742651877073171,-0.015181005329609757,0.02048447450990099,0.009712105171902439,0.010963106785365854,205,NGC_2682,215.68932372,31.93,132.84984192,11.81745461,0.166,-10.986,0.193,-2.964,0.201,34.3195,0.7144,8.964,889.0,9.63,8.844,0.4924,0.5863,182.815,0.078,124.184,176.341,0.0079,-0.0194,0.0739,0.1822,0.1493,0.0161,0.0945,-0.0238,0.3423,-0.0153,0.0612,-0.0021,0.0835,0.0281,0.0664,-0.0779,0.3709,0.044,0.1337,-0.0243,0.1017,-0.0082,0.0562,0.0044,0.1744,0.0416,0.3858,-0.0116,0.187,0.0198,0.0649,0.0088,0.0369,0.1136,0.3475,0.0113,0.0498,-0.1159,0.3678,-0.0411,0.2726,-0.0518,0.2334,190,4,0.596,-10.965,0.007,-2.906,0.007,8.72,837.3,9.23
88,NGC_4337,0.2039973805,0.046865248250000005,0.16752324999999998,0.0143863805,0.2086289175,0.010447145,4,NGC_4337,299.31571429,4.558,186.02205356,-58.12181095,0.055,-8.841,0.08,1.468,0.085,-17.7255,0.6044,7.454,2450.0,9.16,7.412,0.2125,0.2628,196.599,0.07,77.124,142.5,0.2086,0.1386,0.02,0.6606,0.0329,0.1864,0.02,0.4997,0.0315,0.1675,0.02,0.2163,0.0478,0.2346,0.0286,0.1135,0.1093,0.2288,0.0284,0.1724,0.0643,0.1653,0.0354,0.2218,0.02,0.0539,0.0478,0.1639,0.0502,0.3295,0.0518,0.2086,0.02,0.3341,0.1305,0.2223,0.0234,-9999.0,-9999.0,0.204,0.085,0.3315,0.157,4,2,0.307,-8.854,0.004,1.504,0.004,7.256,2413.9,9.15
89,NGC_559,0.2738501,0.04695794,-0.22631851,0.015212554,-0.1469611,0.01054815,1,NGC_559,127.19764996,0.749,22.38895782,63.30433847,0.081,-4.258,0.113,0.254,0.13,-77.4908,0.02,10.341,2884.0,8.41,10.957,0.0628,0.0749,167.166,0.19,124.781,233.204,-0.147,-0.2055,0.02,0.0388,0.02,-0.1896,0.02,-0.0685,0.02,-0.2263,0.02,-0.1964,0.0481,-0.1653,0.02,-0.2326,0.047,-0.0903,0.02,-0.5553,0.02,-0.2023,0.0206,-0.2909,0.02,-0.6483,0.0481,-0.1644,0.02,-0.1395,0.02,-0.147,0.02,-0.1917,0.1308,-0.2367,0.02,-9999.0,-9999.0,0.2739,0.047,-0.355,0.0481,1,1,0.286,-4.276,0.004,0.191,0.004,10.044,2772.2,8.4
